Entity,Code,Year,Annual CO₂ emissions
India,IND,1954,72306530
India,IND,1955,78693850
India,IND,1956,81618800
India,IND,1957,91617590
India,IND,1958,95801250
India,IND,1959,101436020
India,IND,1960,111320210
India,IND,1961,120399360
India,IND,1962,132579760
India,IND,1963,142438960
India,IND,1964,139483200
India,IND,1965,153696700
India,IND,1966,159371420
India,IND,1967,159557100
India,IND,1968,174070540
India,IND,1969,177411300
India,IND,1970,181723860
India,IND,1971,191964860
India,IND,1972,203037040
India,IND,1973,209096030
India,IND,1974,215854050
India,IND,1975,234209710
India,IND,1976,244749840
India,IND,1977,258962060
India,IND,1978,263149940
India,IND,1979,276285000
India,IND,1980,291714430
India,IND,1981,314969280
India,IND,1982,325383070
India,IND,1983,352204860
India,IND,1984,361568800
India,IND,1985,397601120
India,IND,1986,426318050
India,IND,1987,455354720
India,IND,1988,491700100
India,IND,1989,540661900
India,IND,1990,577986560
India,IND,1991,615388160
India,IND,1992,655423550
India,IND,1993,677262100
India,IND,1994,714042800
India,IND,1995,760480200
India,IND,1996,823602200
India,IND,1997,857975740
India,IND,1998,875783360
India,IND,1999,961193860
India,IND,2000,987065100
India,IND,2001,1001198400
India,IND,2002,1032750340
India,IND,2003,1068397950
India,IND,2004,1134611000
India,IND,2005,1195393300
India,IND,2006,1293321500
India,IND,2007,1393485200
India,IND,2008,1490366500
India,IND,2009,1613327600
India,IND,2010,1678529500
India,IND,2011,1765694800
India,IND,2012,1926986400
India,IND,2013,1995337200
India,IND,2014,2148052000
India,IND,2015,2231817500
India,IND,2016,2352540200
India,IND,2017,2425721900
India,IND,2018,2595227100
India,IND,2019,2611174700
India,IND,2020,2422732000
India,IND,2021,2675778000
India,IND,2022,2831131600
India,IND,2023,3062756400
India,IND,2024,3193478100
